2009-02-01,St. Peter,Wetzelsdorf,W,8002
2008-04-01,Wetzelsdorf,Straßgang,M,6970
2021-09-01,St. Leonhard,Wetzelsdorf,W,9461
2013-10-01,St. Peter,Straßgang,M,7505
